Term,Description
analysis,A detailed evaluation of data to discover their structure and relevant information to answer a research question
attribute,A component or characteristic of a concept
background concept,"The broad constellation of meanings and understandings associated with the concept [@adcock:2001, p. 531]"
case,Unit of analysis (rows in our dataset/table)
concept,"Abstract ideas which form the building blocks of theories [@bryman:2021, p. 150]"
conceptualisation,"Formulating a systematized concept through reasoning about the background concept, in light of the goals of research  [@adcock:2001, p. 531]"
cross-sectional data,Look at different units (or cross-sections) $i$ at a single point in time
data,Derives from the Latin \enquote{datum} which means \enquote{given}. For our purposes it is a collection of numbers (or quantities) for the purpose of analysis
data set,"A collection of numerical values for individual observations, separated into distinctive variables"
inference,Making predictions about the wider population or about the future
interpretation,The explanation of results to answer the research question
literature review,An analytical summary of the literature relating to a particular topic with the objective of identifying a gap and thus motivating a research question
measurement,Refers to the selection of a measure or variable
method,A tool for systematic investigation
population,Collection of all cases which possess certain pre-defined characteristics
primary data,Primary data are data you have collected yourself
QM,The process of testing theoretical propositions through the analysis of numerical data in order to provide an answer to a research question
reliability,Refers to the extent to which repeated measurement produces the same results
research question,A specific enquiry relating to a particular topic or subject. It forms the starting point of the research cycle
sampling,The process of selecting sampling units from the population
sampling method,The way the sample is created
secondary data,Secondary data are data which have been collected by somebody else
Social Sciences,Are concerned with the study of society and seek to scientifically describe and explain the behaviour of actors
Statistics,"Statistics is the science of collecting, organising, analysing and interpretingnumerical data to assist in making a more informed decision"
statistical analysis,he descriptive and inferential elements of Statistics
systematized concept,"A specific formulation of a concept used by a given scholar or group of scholars; commonly involves an explicit definition  [@adcock:2001, p. 531]"
theory,A formal set of ideas that is intended to explain why something happens or exists [@oxford]
validity,"The extent to which the measure (variable) you choose genuinely represents the concept in question. The word comes from the Latin word ""validus"" which means ""strong"""
value,Numerical expressions taken by variables (close ended or open ended list)
variable,"An element of a conceptual component which varies. We also call these ""measures"""
