Term,Description
asymmetry,"The notion that while X causes Y, Y does not cause X. It is established with temporal priority, manipulated events, and/or the independence of causes (see @brady:2011)"
causal,"In order to establish a causal relationship, the following criteria must be met concurrently: <br> <ol><li>Relevance of the variables within the broader theoretical and empirical context of the research<ol type=""A""><li>Clear Theoretical Framework</li><li>Clear conceptualization</li><li>Exclusion of alternative explanations</li></ol></li><li>Asymmetry</li><li>Significant (and sufficiently strong) statistical association</li></ol>"
causal loop,"Y causes itself (e.g., health; happiness, wealth)"
interaction effect,"An interaction effect occurs when the effect of one independent variable, $x_1$, on a dependent variable, $y$, depends on the level of another independent variable, $x_2$. In other words, the impact of $x_1$ on $y$ is not constant but varies depending on the value of $x_2$, indicating that the two variables jointly influence the outcome in a non-additive way"
intervening variable,"An intervening variable is a variable that explains the relationship between two other variables, such that $x_1$ affects $x_2$, and in turn, $x_2$ affects $y$. In this case, the effect of $x_1$ on $y$ is indirect, operating through the intervening variable $x_2$. This is also referred to as indirect causality"
multicausality,"Multicausality refers to a situation in which an outcome variable $y$ is influenced by multiple independent variables, such that $x_1$, $x_2$, $x_3$, \ldots all contribute to explaining variations in $y$. In this context, no single variable fully accounts for changes in $y$; instead, the outcome is the result of the combined effects of several causes. We distinguish a speacial case here in which the independent variables are interdependent"
reverse causality,"Causality runs from x to y. If y could also cause x, then we deal with reverse causality"
spurious,"A relationship between two variables, $x_1$ and $y$, is said to be spurious when it appears to exist in a simple analysis but disappears or weakens substantially once a third variable, $x_2$, is introduced into the analysis. This suggests that the observed association between $x_1$ and $y$ was not causal, but rather the result of a confounding influence from $x_2$"
suppressor,"A suppressor variable is a variable, $x_2$, that increases the predictive validity of another variable, $x_1$, on an outcome $y$ by accounting for irrelevant or misleading variance in $x_1$. In other words, the relationship between $x_1$ and $y$ becomes stronger or more apparent when $x_2$ is included in the analysis, even though $x_2$ may have little or no direct relationship with $y$"
symmetry,"In the context of causation, symmetry is understood as the law-like regularity of events. There needs to be a recipe (causal mechanism) which regularly produces effects from causes (see @brady:2011)"
